i;x_i;y_i;y(x_i);|y_i-y(x)|;p(k);;;;
k=1;;;;;;;;;
0;1;1,37802;1,37802;0;p=/0;;;;
1;1,01;1,39267;1,39267;3,84E-07;2;;;;
2;1,02;1,40723;1,40723;7,75E-07;2;;;;
3;1,03;1,4217;1,4217;1,17E-06;2;;;;
4;1,04;1,43607;1,43607;1,58E-06;2;;;;
5;1,05;1,45034;1,45034;1,99E-06;2;;;;
6;1,06;1,4645;1,4645;2,40E-06;2;;;;
7;1,07;1,47856;1,47856;2,82E-06;2;;;;
8;1,08;1,49249;1,4925;3,25E-06;2;;;;
9;1,09;1,50631;1,50631;3,69E-06;2;;;;
10;1,1;1,52;1,52001;4,13E-06;2;;;;
11;1,11;1,53356;1,53357;4,58E-06;2;;;;
12;1,12;1,54698;1,54699;5,04E-06;2;;;;
13;1,13;1,56027;1,56027;5,50E-06;2;;;;
14;1,14;1,5734;1,5734;5,97E-06;2;;;;
15;1,15;1,58638;1,58638;6,45E-06;2;;;;
16;1,16;1,5992;1,5992;6,93E-06;2;;;;
17;1,17;1,61185;1,61186;7,42E-06;2;;;;
18;1,18;1,62434;1,62434;7,92E-06;2;;;;
19;1,19;1,63664;1,63665;8,43E-06;2;;;;
20;1,2;1,64877;1,64877;8,94E-06;2;;;;
21;1,21;1,6607;1,66071;9,46E-06;2;;;;
22;1,22;1,67244;1,67245;9,99E-06;2;;;;
23;1,23;1,68398;1,68399;1,05E-05;2;;;;
24;1,24;1,69531;1,69532;1,11E-05;2;;;;
25;1,25;1,70642;1,70643;1,16E-05;2;;;;
26;1,26;1,71731;1,71733;1,22E-05;2;;;;
27;1,27;1,72798;1,72799;1,27E-05;2;;;;
28;1,28;1,73841;1,73842;1,33E-05;2;;;;
29;1,29;1,7486;1,74861;1,39E-05;2;;;;
30;1,3;1,75854;1,75856;1,45E-05;2;;;;
31;1,31;1,76823;1,76824;1,51E-05;2;;;;
32;1,32;1,77765;1,77767;1,57E-05;2;;;;
33;1,33;1,7868;1,78682;1,63E-05;2;;;;
34;1,34;1,79568;1,7957;1,69E-05;2;;;;
35;1,35;1,80427;1,80429;1,75E-05;2;;;;
36;1,36;1,81257;1,81259;1,81E-05;2;;;;
37;1,37;1,82057;1,82059;1,88E-05;2;;;;
38;1,38;1,82827;1,82829;1,94E-05;2;;;;
39;1,39;1,83565;1,83567;2,01E-05;2;;;;
40;1,4;1,8427;1,84272;2,07E-05;2;;;;
41;1,41;1,84943;1,84945;2,14E-05;2;;;;
42;1,42;1,85581;1,85584;2,21E-05;2;;;;
43;1,43;1,86185;1,86188;2,28E-05;2;;;;
44;1,44;1,86754;1,86756;2,35E-05;2;;;;
45;1,45;1,87286;1,87288;2,42E-05;2;;;;
46;1,46;1,87781;1,87783;2,49E-05;2;;;;
47;1,47;1,88238;1,8824;2,56E-05;2;;;;
48;1,48;1,88656;1,88658;2,63E-05;2;;;;
49;1,49;1,89034;1,89037;2,70E-05;2;;;;
50;1,5;1,89371;1,89374;2,78E-05;2;;;;
51;1,51;1,89667;1,8967;2,85E-05;2;;;;
52;1,52;1,89921;1,89924;2,93E-05;2;;;;
53;1,53;1,90131;1,90134;3,01E-05;2;;;;
54;1,54;1,90297;1,903;3,08E-05;2;;;;
55;1,55;1,90418;1,90421;3,16E-05;2;;;;
56;1,56;1,90493;1,90496;3,24E-05;2;;;;
57;1,57;1,9052;1,90524;3,32E-05;2;;;;
58;1,58;1,905;1,90503;3,40E-05;2;;;;
59;1,59;1,90431;1,90434;3,48E-05;2;;;;
60;1,6;1,90311;1,90315;3,56E-05;2;;;;
61;1,61;1,90141;1,90144;3,65E-05;2;;;;
62;1,62;1,89918;1,89922;3,73E-05;2;;;;
63;1,63;1,89643;1,89647;3,82E-05;2;;;;
64;1,64;1,89314;1,89318;3,90E-05;2;;;;
65;1,65;1,8893;1,88934;3,99E-05;2;;;;
66;1,66;1,8849;1,88494;4,07E-05;2;;;;
67;1,67;1,87992;1,87996;4,16E-05;2;;;;
68;1,68;1,87437;1,87441;4,25E-05;2;;;;
69;1,69;1,86822;1,86826;4,34E-05;2;;;;
70;1,7;1,86147;1,86152;4,43E-05;2;;;;
71;1,71;1,85411;1,85416;4,52E-05;2;;;;
72;1,72;1,84612;1,84617;4,61E-05;2;;;;
