 1;  2;  3;  4;  5;  6;  7;  8;  9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32;
 6;  6;  6;  6; 14; 14; 14; 14; 37; 39; 39; 39; 41; 41; 43; 44; 49; 55; 53; 54; 57; 60; 56; 56; 63; 59; 57; 62; 58; 58; 58; 59;
 6;  6;  6;  6; 14; 14; 14; 14; 37; 39; 39; 40; 40; 42; 43; 50; 54; 53; 55; 55; 58; 55; 57; 57; 61; 58; 58; 58; 69; 59; 64; 73;
 6;  6;  6;  6; 14; 14; 14; 14; 37; 38; 39; 39; 40; 40; 46; 44; 50; 55; 54; 56; 55; 55; 56; 56; 56; 57; 57; 57; 58; 59; 59; 59;
 6;  6;  6;  6; 14; 14; 14; 14; 37; 38; 39; 40; 40; 43; 46; 51; 47; 51; 54; 55; 55; 63; 56; 60; 56; 59; 57; 62; 58; 58; 59; 58;
 6;  6;  6;  6; 14; 14; 14; 14; 37; 38; 40; 39; 41; 44; 45; 52; 54; 54; 55; 55; 56; 59; 55; 58; 59; 66; 57; 59; 58; 57; 59; 58;
