11.747203; 8.171194; 7.924994; 7.909289; 8.044548; 7.873976; 7.883781; 7.978440; 8.080483; 7.964190; 7.975322; 8.001426; 8.004799; 8.028123; 8.019475; 8.036024; 
9.954832; 6.404749; 5.491150; 5.351427; 5.723721; 5.533556; 5.683091; 5.950304; 6.066311; 5.922625; 5.890426; 5.965029; 5.968849; 5.992299; 5.998596; 6.023065; 
9.067742; 5.166243; 4.353564; 3.937011; 4.623051; 4.466982; 4.713828; 5.325811; 5.451999; 5.204038; 5.165888; 5.332826; 5.351416; 5.349661; 5.374655; 5.406289; 
8.528029; 4.888374; 4.095651; 3.579423; 4.247739; 4.169063; 4.630913; 5.651998; 5.747987; 5.436742; 5.386872; 5.653531; 5.649215; 5.680918; 5.714366; 5.757797; 
7.960324; 4.675470; 3.911765; 3.424562; 4.099994; 4.315390; 5.120095; 6.462345; 6.378045; 6.131313; 6.096193; 6.365112; 6.370367; 6.440970; 6.497446; 6.554090; 
7.518881; 4.739525; 3.855636; 3.390272; 4.206453; 4.771872; 5.846911; 7.225642; 7.041471; 6.782503; 6.914839; 6.980130; 6.986997; 7.175482; 7.240208; 7.299265; 
7.483200; 4.701119; 3.653008; 3.377370; 4.507748; 5.393809; 6.709303; 7.812340; 7.602531; 7.418750; 7.528836; 7.575927; 7.655163; 7.751195; 7.829761; 7.851618; 
8.353582; 4.279731; 3.709594; 3.569161; 4.995399; 6.148704; 7.388744; 8.158903; 7.947768; 7.835140; 7.950122; 8.015849; 8.024697; 8.130023; 8.183063; 8.220982; 
8.378919; 3.986526; 3.685017; 3.949128; 5.696187; 6.892947; 7.879355; 8.374378; 8.210584; 8.106190; 8.223706; 8.267421; 8.254494; 8.330071; 8.399169; 8.415641; 
7.933448; 4.296322; 3.774348; 4.517188; 6.337681; 7.376543; 8.146119; 8.536011; 8.345574; 8.268616; 8.333736; 8.399891; 8.380108; 8.472224; 8.503949; 8.521149; 
7.824951; 4.231594; 3.912612; 5.196351; 6.933109; 7.731077; 8.239050; 8.581172; 8.415307; 8.362879; 8.399511; 8.456264; 8.426844; 8.512741; 8.544652; 8.552535; 
7.822110; 4.177654; 4.047466; 5.841939; 7.314491; 7.926900; 8.358536; 8.594090; 8.454849; 8.416219; 8.467397; 8.494343; 8.465043; 8.531848; 8.560203; 8.575286; 
7.652121; 4.370737; 4.335430; 6.361140; 7.537701; 8.053763; 8.410086; 8.609150; 8.477502; 8.460165; 8.457241; 8.500266; 8.497561; 8.534679; 8.560977; 8.581404; 
7.528868; 3.899381; 4.507203; 6.842991; 7.947016; 8.451429; 8.805196; 8.973551; 8.863212; 8.835931; 8.834352; 8.891706; 8.866234; 8.883974; 8.872419; 8.815095; 
7.605652; 4.017675; 5.049795; 7.233871; 7.996820; 8.576483; 8.642103; 8.735239; 8.632250; 8.597669; 8.628946; 8.647722; 8.566204; 8.564011; 8.585255; 8.578021; 
7.529144; 4.090707; 5.585463; 7.364192; 7.977658; 8.396254; 8.561256; 8.650373; 8.474810; 8.449573; 8.457594; 8.502307; 8.528198; 8.563935; 8.535018; 8.554747; 
7.485402; 4.073295; 6.117410; 7.574799; 7.950578; 8.380374; 8.546344; 8.673671; 8.564539; 8.569753; 8.577005; 8.589090; 8.603011; 8.628604; 8.644845; 8.640150; 
7.416118; 4.566570; 6.413051; 7.701756; 8.215379; 8.545246; 8.593092; 8.704403; 8.631362; 8.621774; 8.618751; 8.634373; 8.617581; 8.646509; 8.656424; 8.654964; 
7.455012; 4.958921; 6.687842; 7.803965; 8.300833; 8.573722; 8.611121; 8.709911; 8.648700; 8.631959; 8.628213; 8.638475; 8.613839; 8.653449; 8.654215; 8.655623; 
7.506611; 5.225735; 6.913728; 7.943706; 8.295107; 8.540911; 8.595894; 8.699383; 8.630086; 8.605352; 8.613114; 8.627682; 8.603149; 8.620667; 8.625319; 8.624890; 
